Month,Year,Month-Year,Forecast New Stores,Forecast Actual Stores
1,2016,1-2016,2429600.67674964,21829060.031666
2,2016,2-2016,2356690.3485707,21146329.6319817
3,2016,3-2016,2789909.07554853,23735686.9387899
4,2016,4-2016,2613119.69969763,22409515.2844737
5,2016,5-2016,2987310.74098818,25621828.7250966
6,2016,6-2016,3036185.78672782,26307858.0400465
7,2016,7-2016,3065391.09610287,26705092.5563487
8,2016,8-2016,2679384.64130404,23440761.3295266
9,2016,9-2016,2365494.47840464,20640047.3199708
10,2016,10-2016,2318418.48383081,20086270.4620746
11,2016,11-2016,2401695.26261552,20858119.95754
12,2016,12-2016,2418318.03936592,21255190.2449756
