Period,Sub_Period,ForecastETS,ForecastETS_high_95,ForecastETS_high_80,ForecastETS_low_80,ForecastETS_low_95
2016,1,2015.46288062802,2017.24227623356,2016.6263648767,2014.29939637933,2013.68348502248
2016,2,2015.68737187115,2017.47569235539,2016.85669178435,2014.51805195795,2013.89905138691
2016,3,2015.18928398008,2016.98584471751,2016.36399190523,2014.01457605492,2013.39272324264
2016,4,2015.01789603414,2016.8229436436,2016.19815322664,2013.83763884164,2013.21284842468
2016,5,2015.03463309062,2016.84829427425,2016.22052239654,2013.8487437847,2013.22097190698
2016,6,2014.3977529426,2016.21939619528,2015.58886144294,2013.20664444226,2012.57610968992
2016,7,2014.97980644668,2016.81049382747,2016.17682858453,2013.78278430883,2013.14911906588
2016,8,2014.91052197911,2016.74962444303,2016.11304644406,2013.70799751416,2013.0714195152
2016,9,2014.68580343894,2016.53313897765,2015.89371122214,2013.47789565574,2012.83846790023
2016,10,2014.56337141049,2016.41899399367,2015.77669780082,2013.35004502017,2012.70774882732
2016,11,2014.37796508679,2016.24177758081,2015.59664657198,2013.1592836016,2012.51415259276
2016,12,2014.42828040289,2016.30046301143,2015.65243481179,2013.204125994,2012.55609779436
